mass_A
t	x	y
0,000000000E0	-3,272068492E1	5,546059888E1
3,335555556E-2	-3,267972526E1	5,549765893E1
6,666666667E-2	-3,271638618E1	5,546328783E1
1,000222222E-1	-3,269212639E1	5,549623108E1
1,333222222E-1	-3,271590947E1	5,546667976E1
1,667333333E-1	-3,270371793E1	5,547970734E1
1,999777778E-1	-3,271014341E1	5,547066039E1
2,333000000E-1	-3,270961933E1	5,547195265E1
2,665888889E-1	-3,272045416E1	5,557754133E1
2,999222222E-1	-3,299486849E1	5,751685513E1
3,332333333E-1	-3,482934021E1	6,609528577E1
3,665555556E-1	-3,933175558E1	8,416538242E1
3,998888889E-1	-4,248423207E1	9,332348554E1
4,332000000E-1	-4,276866088E1	9,426197840E1
4,665222222E-1	-4,274538610E1	9,413474924E1
4,998666667E-1	-4,273175327E1	9,416454691E1
5,331777778E-1	-4,273577573E1	9,411428693E1
5,665000000E-1	-4,273251283E1	9,414875543E1
5,998333333E-1	-4,281563939E1	9,435218962E1
6,332888889E-1	-4,280508069E1	9,439246665E1
6,664666667E-1	-4,281721768E1	9,435745437E1
6,997888889E-1	-4,281022188E1	9,437767827E1
7,331111111E-1	-4,282553354E1	9,435778731E1
7,664444444E-1	-4,280305559E1	9,438193385E1
7,997666667E-1	-4,281180395E1	9,436213536E1
8,330888889E-1	-4,280294579E1	9,437049202E1
8,664111111E-1	-4,280117346E1	9,436733877E1
8,997666667E-1	-4,251911917E1	9,352654566E1
9,331111111E-1	-4,047601933E1	8,727325551E1
9,663777778E-1	-3,637753894E1	7,397208278E1
9,997111111E-1	-3,226654363E1	5,268759842E1
1,033033333E0	-3,210890801E1	5,192390201E1
1,066355556E0	-3,212661851E1	5,197865974E1
1,099677778E0	-3,213589038E1	5,200167870E1
1,132988889E0	-3,213040602E1	5,202590838E1
1,199877778E0	-3,212183343E1	5,202953287E1
1,232988889E0	-3,213652147E1	5,197130191E1
1,266288889E0	-3,211117241E1	5,205298026E1
1,299611111E0	-3,212608868E1	5,197885762E1
1,332933333E0	-3,211298038E1	5,204806831E1
1,366355556E0	-3,213183180E1	5,196926568E1
1,399600000E0	-3,212311355E1	5,203710181E1
1,432933333E0	-3,213142563E1	5,198251715E1
1,466488889E0	-3,212878051E1	5,208949522E1
1,499633333E0	-3,266104136E1	5,510225540E1
1,532888889E0	-3,500159564E1	6,735529922E1
1,566244444E0	-4,011927387E1	8,635928992E1
1,599522222E0	-4,233900557E1	9,306927702E1
1,632844444E0	-4,256113775E1	9,369607971E1
1,666166667E0	-4,265586720E1	9,392179469E1
1,699488889E0	-4,272083810E1	9,410580773E1
1,732822222E0	-4,273664671E1	9,416102089E1
1,768900000E0	-4,273577175E1	9,416494760E1
1,799477778E0	-4,281061945E1	9,438774313E1
1,832788889E0	-4,280948480E1	9,439973805E1
1,866133333E0	-4,280845651E1	9,440093742E1
1,899444444E0	-4,281711334E1	9,439086138E1
1,932755556E0	-4,281108510E1	9,440017137E1
1,966100000E0	-4,281314098E1	9,439227320E1
1,999511111E0	-4,280626916E1	9,440986977E1
2,032722222E0	-4,281093253E1	9,439898011E1
2,066066667E0	-4,281327519E1	9,440177558E1
2,099388889E0	-4,253830847E1	9,355224523E1
2,132700000E0	-4,110436107E1	8,922951878E1
2,166066667E0	-3,763435594E1	7,844426340E1
2,199344444E0	-3,332228337E1	5,854718770E1
2,232677778E0	-3,298935124E1	5,765235047E1
2,266144444E0	-3,313389065E1	5,782890312E1
2,299322222E0	-3,306779318E1	5,786127734E1
2,332644444E0	-3,312580243E1	5,782907021E1
2,368088889E0	-3,309346857E1	5,785026466E1
2,399288889E0	-3,312170950E1	5,783378000E1
2,432600000E0	-3,311292703E1	5,783790886E1
2,465933333E0	-3,311501038E1	5,783860675E1
2,499488889E0	-3,311689825E1	5,783849914E1
2,533566667E0	-3,311449637E1	5,783872853E1
2,565900000E0	-3,311916699E1	5,783558845E1
2,599233333E0	-3,310998315E1	5,784150486E1
2,632700000E0	-3,312216667E1	5,783412857E1
2,665866667E0	-3,310883469E1	5,788463239E1
2,699400000E0	-3,368694863E1	6,111724518E1
2,732522222E0	-3,506594068E1	6,731014174E1
2,766711111E0	-4,089435414E1	8,899305642E1
2,799166667E0	-4,252728960E1	9,345485870E1
2,832488889E0	-4,256328511E1	9,374719606E1
2,866144444E0	-4,269944830E1	9,397569921E1
2,899144444E0	-4,278151236E1	9,430475361E1
2,932477778E0	-4,289288225E1	9,448235719E1
2,966011111E0	-4,288907339E1	9,450033768E1
2,999111111E0	-4,289233807E1	9,449454528E1
3,032422222E0	-4,289154693E1	9,450220443E1
3,066066667E0	-4,289254279E1	9,449766737E1
3,099077778E0	-4,289122872E1	9,449655367E1
3,132422222E0	-4,289249603E1	9,449521956E1
3,165733333E0	-4,289294555E1	9,450215851E1
3,199044444E0	-4,288666547E1	9,450392725E1
3,232366667E0	-4,288144995E1	9,450146147E1
3,265844444E0	-4,281692896E1	9,429879197E1
3,299044444E0	-4,212380830E1	9,231785653E1
3,332333333E0	-4,009442736E1	8,605914228E1
3,365655556E0	-3,500669172E1	6,821213085E1
3,398988889E0	-3,243534528E1	5,400219894E1
3,432522222E0	-3,233649369E1	5,308358948E1
3,465633333E0	-3,230879470E1	5,324581997E1
3,498955556E0	-3,234749736E1	5,317952937E1
3,532700000E0	-3,231027441E1	5,326568801E1
3,565644444E0	-3,234936161E1	5,319176055E1
3,598922222E0	-3,230969300E1	5,326254622E1
3,632255556E0	-3,234333744E1	5,319062817E1
3,665588889E0	-3,231122505E1	5,326061548E1
3,698900000E0	-3,234199511E1	5,320601657E1
3,732211111E0	-3,231411791E1	5,325860867E1
3,765544444E0	-3,232908192E1	5,322827409E1
3,798888889E0	-3,232278959E1	5,324429118E1
3,832200000E0	-3,233118172E1	5,323766304E1
3,865511111E0	-3,258063897E1	5,462535052E1
